,,50.80%,41.40%,32.50%,,,,32.50%,,
1762,Buildings With an Ocean View,79.70%,Medium,62.10%,41.40%,-35.32%,2,1.294,,1
311,Sparse Matrix Multiplication,66.60%,Medium,62.04%,41.40%,-35.22%,2,1.296,,1
280,Wiggle Sort,66.10%,Medium,61.99%,41.40%,-35.14%,2,1.297,,1
28,Implement strStr(),36.50%,Easy,36.09%,50.80%,29.90%,1,1.299,,
290,Word Pattern,40.30%,Easy,36.05%,50.80%,29.99%,1,1.300,,
482,License Key Formatting,43.10%,Easy,36.03%,50.80%,30.02%,1,1.300,,
1676,Lowest Common Ancestor of a Binary Tree IV,79.50%,Medium,61.90%,41.40%,-34.98%,2,1.300,,1
2027,Minimum Moves to Convert String,53.60%,Easy,36.00%,50.80%,30.08%,1,1.301,,
1175,Prime Arrangements,53.10%,Easy,35.87%,50.80%,30.35%,1,1.304,,
1984,Minimum Difference Between Highest and Lowest of K Scores,53.40%,Easy,35.80%,50.80%,30.49%,1,1.305,,
69,Sqrt(x),36.70%,Easy,35.69%,50.80%,30.72%,1,1.307,,
215,Kth Largest Element in an Array,64.80%,Medium,61.65%,41.40%,-34.55%,2,1.309,,
717,1-bit and 2-bit Characters,46.10%,Easy,35.58%,50.80%,30.93%,1,1.309,,
844,Backspace String Compare,48.00%,Easy,35.62%,50.80%,30.85%,1,1.309,,
1071,Greatest Common Divisor of Strings,51.20%,Easy,35.49%,50.80%,31.11%,1,1.311,,
1557,Minimum Number of Vertices to Reach All Nodes,79.20%,Medium,61.60%,41.40%,-34.47%,2,1.311,,
1630,Arithmetic Subarrays,79.20%,Medium,61.60%,41.40%,-34.47%,2,1.311,,
1940,Longest Common Subsequence Between Sorted Arrays,79.20%,Medium,61.60%,41.40%,-34.47%,2,1.311,,1
2221,Find Triangular Sum of an Array,79.20%,Medium,61.60%,41.40%,-34.47%,2,1.311,,
596,Classes More Than 5 Students,44.20%,Easy,35.46%,50.80%,31.18%,1,1.312,Sql,
1076,Project Employees II,51.20%,Easy,35.42%,50.80%,31.26%,1,1.313,Sql,1
451,Sort Characters By Frequency,68.10%,Medium,61.49%,41.40%,-34.28%,2,1.314,,
1089,Duplicate Zeros,51.30%,Easy,35.33%,50.80%,31.45%,1,1.314,,
1756,Design Most Recently Used Queue,79.10%,Medium,61.50%,41.40%,-34.30%,2,1.314,,1
289,Game of Life,65.70%,Medium,61.46%,41.40%,-34.23%,2,1.315,,
1176,Diet Plan Performance,52.50%,Easy,35.25%,50.80%,31.60%,1,1.316,,1
784,Letter Case Permutation,72.90%,Medium,61.40%,41.40%,-34.13%,2,1.317,,
997,Find the Town Judge,49.60%,Easy,34.98%,50.80%,32.16%,1,1.322,,
2133,Check if Every Row and Column Contains All Numbers,52.50%,Easy,34.90%,50.80%,32.32%,1,1.323,,
1364,Number of Trusted Contacts of a Customer,78.80%,Medium,61.20%,41.40%,-33.79%,2,1.324,Sql,1
1083,Sales Analysis II,50.50%,Easy,34.62%,50.80%,32.89%,1,1.329,Sql,1
747,Largest Number At Least Twice of Others,45.50%,Easy,34.54%,50.80%,33.04%,1,1.330,,
170,Two Sum III - Data structure design,36.90%,Easy,34.41%,50.80%,33.32%,1,1.333,,1
1561,Maximum Number of Coins You Can Get,78.50%,Medium,60.90%,41.40%,-33.28%,2,1.334,,
643,Maximum Average Subarray I,43.70%,Easy,34.27%,50.80%,33.60%,1,1.336,,
1141,User Activity for the Past 30 Days I,50.90%,Easy,34.17%,50.80%,33.81%,1,1.338,Sql,1
2323,Find Minimum Time to Finish All Jobs II  New,78.40%,Medium,60.80%,41.40%,-33.11%,2,1.338,,1
122,Best Time to Buy and Sell Stock II,62.50%,Medium,60.71%,41.40%,-32.95%,2,1.341,,
238,Product of Array Except Self,64.20%,Medium,60.71%,41.40%,-32.95%,2,1.341,,
702,Search in a Sorted Array of Unknown Size,71.00%,Medium,60.70%,41.40%,-32.94%,2,1.341,,1
2041,Accepted Candidates From the Interviews,78.30%,Medium,60.70%,41.40%,-32.94%,2,1.341,Sql,1
2268,Minimum Number of Keypresses,78.30%,Medium,60.70%,41.40%,-32.94%,2,1.341,,1
671,Second Minimum Node In a Binary Tree,43.80%,Easy,33.96%,50.80%,34.23%,1,1.342,,
744,Find Smallest Letter Greater Than Target,44.90%,Easy,33.99%,50.80%,34.17%,1,1.342,,
597,Friend Requests I: Overall Acceptance Rate,42.70%,Easy,33.94%,50.80%,34.26%,1,1.343,Sql,1
626,Exchange Seats,69.80%,Medium,60.62%,41.40%,-32.80%,2,1.344,Sql,
1154,Day of the Year,50.70%,Easy,33.77%,50.80%,34.60%,1,1.346,,
1605,Find Valid Matrix Given Row and Column Sums,78.10%,Medium,60.50%,41.40%,-32.59%,2,1.348,,
1228,Missing Number In Arithmetic Progression,51.20%,Easy,33.60%,50.80%,34.96%,1,1.350,,1
1079,Letter Tile Possibilities,76.20%,Medium,60.37%,41.40%,-32.38%,2,1.352,,
1398,Customers Who Bought Products A and B but Not C,78.00%,Medium,60.40%,41.40%,-32.42%,2,1.352,Sql,1
1715,Count Apples and Oranges,78.00%,Medium,60.40%,41.40%,-32.42%,2,1.352,Sql,1
1893,Check if All the Integers in a Range Are Covered,51.10%,Easy,33.50%,50.80%,35.16%,1,1.352,,
2308,Arrange Table by Gender,78.00%,Medium,60.40%,41.40%,-32.42%,2,1.352,Sql,1
249,Group Shifted Strings,63.90%,Medium,60.25%,41.40%,-32.16%,2,1.357,,1
819,Most Common Word,45.20%,Easy,33.19%,50.80%,35.80%,1,1.358,,
1506,Find Root of N-Ary Tree,77.80%,Medium,60.20%,41.40%,-32.08%,2,1.358,,1
1646,Get Maximum in Generated Array,50.60%,Easy,33.00%,50.80%,36.18%,1,1.362,,
1971,Find if Path Exists in Graph,50.60%,Easy,33.00%,50.80%,36.18%,1,1.362,,
1243,Array Transformation,50.50%,Easy,32.90%,50.80%,36.38%,1,1.364,,1
1933,Check if String Is Decomposable Into Value-Equal Substrings,50.50%,Easy,32.90%,50.80%,36.38%,1,1.364,,1
102,Binary Tree Level Order Traversal,61.50%,Medium,60.00%,41.40%,-31.75%,2,1.365,,
695,Max Area of Island,70.20%,Medium,60.01%,41.40%,-31.75%,2,1.365,,
1641,Count Sorted Vowel Strings,77.60%,Medium,60.00%,41.40%,-31.74%,2,1.365,,
2230,The Users That Are Eligible for Discount,50.40%,Easy,32.80%,50.80%,36.59%,1,1.366,Sql,1
347,Top K Frequent Elements,65.00%,Medium,59.91%,41.40%,-31.59%,2,1.368,,
2314,The First Day of the Maximum Recorded Degree in Each City,77.50%,Medium,59.90%,41.40%,-31.57%,2,1.369,Sql,1
1495,Friendly Movies Streamed Last Month,50.20%,Easy,32.60%,50.80%,36.99%,1,1.370,Sql,1
1978,Employees Whose Manager Left the Company,50.20%,Easy,32.60%,50.80%,36.99%,1,1.370,Sql,1
1018,Binary Prefix Divisible By 5,47.50%,Easy,32.57%,50.80%,37.05%,1,1.371,,
52,N-Queens II,69.90%,Hard,69.14%,32.50%,-54.28%,3,1.372,,
422,Valid Word Square,38.70%,Easy,32.51%,50.80%,37.17%,1,1.372,,1
1650,Lowest Common Ancestor of a Binary Tree III,77.40%,Medium,59.80%,41.40%,-31.40%,2,1.372,,1
1709,Biggest Window Between Visits,77.40%,Medium,59.80%,41.40%,-31.40%,2,1.372,Sql,1
1934,Confirmation Rate,77.30%,Medium,59.70%,41.40%,-31.23%,2,1.375,Sql,1
62,Unique Paths,60.60%,Medium,59.69%,41.40%,-31.21%,2,1.376,,
489,Robot Room Cleaner,76.20%,Hard,69.03%,32.50%,-54.12%,3,1.377,,1
734,Sentence Similarity,43.00%,Easy,32.23%,50.80%,37.73%,1,1.377,,1
12,Integer to Roman,59.80%,Medium,59.62%,41.40%,-31.10%,2,1.378,,
885,Spiral Matrix III,72.60%,Medium,59.62%,41.40%,-31.09%,2,1.378,,
1381,Design a Stack With Increment Operation,77.20%,Medium,59.60%,41.40%,-31.06%,2,1.379,,
1731,The Number of Employees Which Report to Each Employee,49.60%,Easy,32.00%,50.80%,38.21%,1,1.382,Sql,1
427,Construct Quad Tree,65.70%,Medium,59.44%,41.40%,-30.78%,2,1.384,,
1576,Replace All ?'s to Avoid Consecutive Repeating Characters,49.50%,Easy,31.90%,50.80%,38.41%,1,1.384,,
645,Set Mismatch,41.30%,Easy,31.84%,50.80%,38.54%,1,1.385,,
2205,The Number of Users That Are Eligible for Discount,49.40%,Easy,31.80%,50.80%,38.62%,1,1.386,Sql,1
168,Excel Sheet Column Title,34.20%,Easy,31.74%,50.80%,38.75%,1,1.387,,
1826,Faulty Sensor,49.30%,Easy,31.70%,50.80%,38.82%,1,1.388,,1
1823,Find the Winner of the Circular Game,76.80%,Medium,59.20%,41.40%,-30.38%,2,1.392,,
434,Number of Segments in a String,37.80%,Easy,31.43%,50.80%,39.36%,1,1.394,,
1796,Second Largest Digit in a String,49.00%,Easy,31.40%,50.80%,39.43%,1,1.394,,
1347,Minimum Number of Steps to Make Two Strings Anagram,76.60%,Medium,59.00%,41.40%,-30.03%,2,1.399,,
24,Swap Nodes in Pairs,59.30%,Medium,58.95%,41.40%,-29.95%,2,1.401,,
814,Binary Tree Pruning,70.90%,Medium,58.96%,41.40%,-29.97%,2,1.401,,
989,Add to Array-Form of Integer,45.60%,Easy,31.09%,50.80%,40.05%,1,1.401,,
2238,Number of Times a Driver Was a Passenger,76.50%,Medium,58.90%,41.40%,-29.86%,2,1.403,Sql,1
64,Minimum Path Sum,59.80%,Medium,58.86%,41.40%,-29.80%,2,1.404,,
582,Kill Process,67.40%,Medium,58.86%,41.40%,-29.80%,2,1.404,,1
836,Rectangle Overlap,43.20%,Easy,30.94%,50.80%,40.37%,1,1.404,,
538,Convert BST to Greater Tree,66.70%,Medium,58.81%,41.40%,-29.71%,2,1.406,,
1752,Check if Array Is Sorted and Rotated,48.40%,Easy,30.80%,50.80%,40.65%,1,1.407,,
570,Managers with at Least 5 Direct Reports,67.10%,Medium,58.74%,41.40%,-29.59%,2,1.408,Sql,1
156,Binary Tree Upside Down,61.00%,Medium,58.71%,41.40%,-29.54%,2,1.409,,1
1829,Maximum XOR for Each Query,76.30%,Medium,58.70%,41.40%,-29.52%,2,1.410,,
241,Different Ways to Add Parentheses,62.20%,Medium,58.67%,41.40%,-29.46%,2,1.411,,
413,Arithmetic Slices,64.70%,Medium,58.64%,41.40%,-29.42%,2,1.412,,
1056,Confusing Number,46.00%,Easy,30.51%,50.80%,41.24%,1,1.412,,1
131,Palindrome Partitioning,60.50%,Medium,58.58%,41.40%,-29.32%,2,1.414,,
604,Design Compressed String Iterator,39.30%,Easy,30.44%,50.80%,41.38%,1,1.414,,1
1100,Find K-Length Substrings With No Repeated Characters,74.70%,Medium,58.57%,41.40%,-29.29%,2,1.414,,1
1198,Find Smallest Common Element in All Rows,76.10%,Medium,58.53%,41.40%,-29.23%,2,1.415,,1
484,Find Permutation,65.60%,Medium,58.50%,41.40%,-29.18%,2,1.416,,1
2128,Remove All Ones With Row and Column Flips,76.10%,Medium,58.50%,41.40%,-29.18%,2,1.416,,1
507,Perfect Number,37.70%,Easy,30.26%,50.80%,41.74%,1,1.417,,
1104,Path In Zigzag Labelled Binary Tree,74.60%,Medium,58.41%,41.40%,-29.02%,2,1.420,,
1440,Evaluate Boolean Expression,76.00%,Medium,58.40%,41.40%,-29.01%,2,1.420,Sql,1
195,Tenth Line,32.80%,Easy,29.94%,50.80%,42.40%,1,1.424,Shell,
426,Convert Binary Search Tree to Sorted Doubly Linked List,64.50%,Medium,58.25%,41.40%,-28.76%,2,1.425,,1
1026,Maximum Difference Between Node and Ancestor,73.30%,Medium,58.25%,41.40%,-28.76%,2,1.425,,
1128,Number of Equivalent Domino Pairs,46.40%,Easy,29.86%,50.80%,42.57%,1,1.426,,
1613,Find the Missing IDs,75.80%,Medium,58.20%,41.40%,-28.67%,2,1.427,Sql,1
1261,Find Elements in a Contaminated Binary Tree,75.70%,Medium,58.10%,41.40%,-28.50%,2,1.430,,
513,Find Bottom Left Tree Value,65.60%,Medium,58.08%,41.40%,-28.46%,2,1.431,,
1875,Group Employees of the Same Salary,75.60%,Medium,58.00%,41.40%,-28.33%,2,1.433,Sql,1
680,Valid Palindrome II,39.40%,Easy,29.43%,50.80%,43.44%,1,1.434,,
1360,Number of Days Between Two Dates,46.90%,Easy,29.30%,50.80%,43.70%,1,1.437,,
2259,Remove Digit From Number to Maximize Result,46.90%,Easy,29.30%,50.80%,43.70%,1,1.437,,
1013,Partition Array Into Three Parts With Equal Sum,44.10%,Easy,29.24%,50.80%,43.82%,1,1.438,,
2317,Maximum XOR After Operations,75.40%,Medium,57.80%,41.40%,-27.99%,2,1.440,,
163,Missing Ranges,31.50%,Easy,29.11%,50.80%,44.09%,1,1.441,,1
1523,Count Odd Numbers in an Interval Range,46.70%,Easy,29.10%,50.80%,44.11%,1,1.441,,
281,Zigzag Iterator,61.80%,Medium,57.68%,41.40%,-27.78%,2,1.444,,1
791,Custom Sort String,69.30%,Medium,57.70%,41.40%,-27.81%,2,1.444,,
1314,Matrix Block Sum,75.30%,Medium,57.70%,41.40%,-27.82%,2,1.444,,
1472,Design Browser History,75.30%,Medium,57.70%,41.40%,-27.82%,2,1.444,,
1602,Find Nearest Right Node in Binary Tree,75.30%,Medium,57.70%,41.40%,-27.82%,2,1.444,,1
107,Binary Tree Level Order Traversal II,59.20%,Medium,57.63%,41.40%,-27.70%,2,1.446,,
408,Valid Word Abbreviation,34.80%,Easy,28.82%,50.80%,44.68%,1,1.447,,1
1867,Orders With Maximum Quantity Above Average,75.20%,Medium,57.60%,41.40%,-27.65%,2,1.447,Sql,1
1973,Count Nodes Equal to Sum of Descendants,75.20%,Medium,57.60%,41.40%,-27.65%,2,1.447,,1
398,Random Pick Index,63.40%,Medium,57.56%,41.40%,-27.58%,2,1.448,,
893,Groups of Special-Equivalent Strings,70.60%,Medium,57.50%,41.40%,-27.48%,2,1.450,,
1112,Highest Grade For Each Student,73.80%,Medium,57.49%,41.40%,-27.46%,2,1.451,Sql,1
979,Distribute Coins in Binary Tree,71.80%,Medium,57.44%,41.40%,-27.37%,2,1.453,,
1442,Count Triplets That Can Form Two Arrays of Equal XOR,75.00%,Medium,57.40%,41.40%,-27.30%,2,1.454,,
2329,Product Sales Analysis V  New,75.00%,Medium,57.40%,41.40%,-27.30%,2,1.454,Sql,1
2239,Find Closest Number to Zero,46.00%,Easy,28.40%,50.80%,45.53%,1,1.455,,
167,Two Sum II - Input Array Is Sorted,59.70%,Medium,57.25%,41.40%,-27.05%,2,1.459,,
529,Minesweeper,65.00%,Medium,57.24%,41.40%,-27.03%,2,1.459,,
889,Construct Binary Tree from Preorder and Postorder Traversal,70.30%,Medium,57.26%,41.40%,-27.07%,2,1.459,,
96,Unique Binary Search Trees,58.60%,Medium,57.19%,41.40%,-26.95%,2,1.461,,
1325,Delete Leaves With a Given Value,74.80%,Medium,57.20%,41.40%,-26.96%,2,1.461,,
1790,Check if One String Swap Can Make Strings Equal,45.70%,Easy,28.10%,50.80%,46.14%,1,1.461,,
841,Keys and Rooms,69.50%,Medium,57.17%,41.40%,-26.90%,2,1.462,,
199,Binary Tree Right Side View,60.00%,Medium,57.08%,41.40%,-26.76%,2,1.465,,
515,Find Largest Value in Each Tree Row,64.60%,Medium,57.05%,41.40%,-26.70%,2,1.466,,
1111,Maximum Nesting Depth of Two Valid Parentheses Strings,73.30%,Medium,57.01%,41.40%,-26.63%,2,1.467,,
1355,Activity Participants,74.60%,Medium,57.00%,41.40%,-26.62%,2,1.468,Sql,1
1669,Merge In Between Linked Lists,74.50%,Medium,56.90%,41.40%,-26.45%,2,1.471,,
105,Construct Binary Tree from Preorder and Inorder Traversal,58.40%,Medium,56.86%,41.40%,-26.38%,2,1.472,,
114,Flatten Binary Tree to Linked List,58.50%,Medium,56.83%,41.40%,-26.33%,2,1.473,,
986,Interval List Intersections,71.30%,Medium,56.84%,41.40%,-26.35%,2,1.473,,
526,Beautiful Arrangement,64.50%,Medium,56.79%,41.40%,-26.25%,2,1.475,,
323,Number of Connected Components in an Undirected Graph,61.50%,Medium,56.76%,41.40%,-26.22%,2,1.476,,1
1277,Count Square Submatrices with All Ones,74.30%,Medium,56.70%,41.40%,-26.11%,2,1.478,,
2044,Count Number of Maximum Bitwise-OR Subsets,74.30%,Medium,56.70%,41.40%,-26.11%,2,1.478,,
750,Number Of Corner Rectangles,67.60%,Medium,56.60%,41.40%,-25.94%,2,1.481,,1
739,Daily Temperatures,67.40%,Medium,56.56%,41.40%,-25.87%,2,1.483,,
244,Shortest Word Distance II,60.10%,Medium,56.52%,41.40%,-25.80%,2,1.484,,1
669,Trim a Binary Search Tree,66.30%,Medium,56.49%,41.40%,-25.75%,2,1.485,,
877,Stone Game,69.30%,Medium,56.44%,41.40%,-25.66%,2,1.487,,
1527,Patients With a Condition,44.40%,Easy,26.80%,50.80%,48.78%,1,1.488,Sql,1
647,Palindromic Substrings,65.80%,Medium,56.31%,41.40%,-25.44%,2,1.491,,
116,Populating Next Right Pointers in Each Node,58.00%,Medium,56.30%,41.40%,-25.42%,2,1.492,,
1767,Find the Subtasks That Did Not Execute,84.00%,Hard,66.40%,32.50%,-50.22%,3,1.493,Sql,1
1204,Last Person to Fit in the Bus,73.80%,Medium,56.20%,41.40%,-25.26%,2,1.495,Sql,1
1592,Rearrange Spaces Between Words,43.90%,Easy,26.30%,50.80%,49.80%,1,1.498,,
208,Implement Trie (Prefix Tree),59.10%,Medium,56.05%,41.40%,-25.00%,2,1.500,,
341,Flatten Nested List Iterator,61.00%,Medium,56.00%,41.40%,-24.91%,2,1.502,,
1396,Design Underground System,73.60%,Medium,56.00%,41.40%,-24.91%,2,1.502,,
414,Third Maximum Number,32.10%,Easy,26.03%,50.80%,50.35%,1,1.503,,
508,Most Frequent Subtree Sum,63.40%,Medium,55.95%,41.40%,-24.83%,2,1.503,,
2113,Elements in Array After Removing and Replacing Elements,73.50%,Medium,55.90%,41.40%,-24.74%,2,1.505,,1
1566,Detect Pattern of Length M Repeated K or More Times,43.50%,Easy,25.90%,50.80%,50.61%,1,1.506,,
256,Paint House,59.60%,Medium,55.85%,41.40%,-24.65%,2,1.507,,1
2051,The Category of Each Member in the Store,73.40%,Medium,55.80%,41.40%,-24.57%,2,1.509,Sql,1
2099,Find Subsequence of Length K With the Largest Sum,43.30%,Easy,25.70%,50.80%,51.02%,1,1.510,,
129,Sum Root to Leaf Numbers,57.60%,Medium,55.71%,41.40%,-24.42%,2,1.512,,
1286,Iterator for Combination,73.30%,Medium,55.70%,41.40%,-24.40%,2,1.512,,
1522,Diameter of N-Ary Tree,73.30%,Medium,55.70%,41.40%,-24.40%,2,1.512,,1
178,Rank Scores,58.20%,Medium,55.59%,41.40%,-24.21%,2,1.516,Sql,
969,Pancake Sorting,69.80%,Medium,55.59%,41.40%,-24.21%,2,1.516,,
318,Maximum Product of Word Lengths,60.20%,Medium,55.54%,41.40%,-24.12%,2,1.518,,
2326,Spiral Matrix IV,73.10%,Medium,55.50%,41.40%,-24.06%,2,1.519,,
1188,Design Bounded Blocking Queue,72.90%,Medium,55.48%,41.40%,-24.02%,2,1.520,Thread,1
286,Walls and Gates,59.60%,Medium,55.41%,41.40%,-23.90%,2,1.522,,1
865,Smallest Subtree with all the Deepest Nodes,68.10%,Medium,55.41%,41.40%,-23.91%,2,1.522,,
1043,Partition Array for Maximum Sum,70.70%,Medium,55.40%,41.40%,-23.90%,2,1.522,,
1448,Count Good Nodes in Binary Tree,73.00%,Medium,55.40%,41.40%,-23.89%,2,1.522,,
369,Plus One Linked List,60.70%,Medium,55.29%,41.40%,-23.70%,2,1.526,,1
1418,Display Table of Food Orders in a Restaurant,72.90%,Medium,55.30%,41.40%,-23.72%,2,1.526,,
2023,Number of Pairs of Strings With Concatenation Equal to Target,72.80%,Medium,55.20%,41.40%,-23.55%,2,1.529,,
36,Valid Sudoku,55.70%,Medium,55.17%,41.40%,-23.50%,2,1.530,,
47,Permutations II,55.80%,Medium,55.11%,41.40%,-23.40%,2,1.532,,
503,Next Greater Element II,62.50%,Medium,55.12%,41.40%,-23.42%,2,1.532,,
1736,Latest Time by Replacing Hidden Digits,42.10%,Easy,24.50%,50.80%,53.46%,1,1.535,,
137,Single Number II,57.00%,Medium,54.99%,41.40%,-23.19%,2,1.536,,
1660,Correct a Binary Tree,72.60%,Medium,55.00%,41.40%,-23.21%,2,1.536,,1
1910,Remove All Occurrences of a Substring,72.60%,Medium,55.00%,41.40%,-23.21%,2,1.536,,
609,Find Duplicate File in System,63.90%,Medium,54.97%,41.40%,-23.15%,2,1.537,,
1951,All the Pairs With the Maximum Number of Common Followers,72.50%,Medium,54.90%,41.40%,-23.04%,2,1.539,Sql,1
328,Odd Even Linked List,59.70%,Medium,54.89%,41.40%,-23.02%,2,1.540,,
605,Can Place Flowers,33.10%,Easy,24.23%,50.80%,54.01%,1,1.540,,
959,Regions Cut By Slashes,68.90%,Medium,54.83%,41.40%,-22.93%,2,1.541,,
2020,Number of Accounts That Did Not Stream,72.40%,Medium,54.80%,41.40%,-22.87%,2,1.543,Sql,1
1195,Fizz Buzz Multithreaded,72.30%,Medium,54.77%,41.40%,-22.82%,2,1.544,Thread,
1232,Check If It Is a Straight Line,41.60%,Easy,24.00%,50.80%,54.47%,1,1.545,,
287,Find the Duplicate Number,58.90%,Medium,54.69%,41.40%,-22.68%,2,1.546,,
1321,Restaurant Growth,72.30%,Medium,54.70%,41.40%,-22.70%,2,1.546,Sql,1
1529,Minimum Suffix Flips,72.30%,Medium,54.70%,41.40%,-22.70%,2,1.546,,
547,Number of Provinces,62.70%,Medium,54.68%,41.40%,-22.66%,2,1.547,,
75,Sort Colors,55.70%,Medium,54.60%,41.40%,-22.53%,2,1.549,,
1852,Distinct Numbers in Each Subarray,72.20%,Medium,54.60%,41.40%,-22.53%,2,1.549,,1
980,Unique Paths III,79.50%,Hard,65.13%,32.50%,-48.34%,3,1.550,,
106,Construct Binary Tree from Inorder and Postorder Traversal,56.10%,Medium,54.55%,41.40%,-22.43%,2,1.551,,
109,Convert Sorted List to Binary Search Tree,56.10%,Medium,54.50%,41.40%,-22.36%,2,1.553,,
378,Kth Smallest Element in a Sorted Matrix,60.00%,Medium,54.46%,41.40%,-22.28%,2,1.554,,
17,Letter Combinations of a Phone Number,54.70%,Medium,54.45%,41.40%,-22.27%,2,1.555,,
89,Gray Code,55.70%,Medium,54.39%,41.40%,-22.18%,2,1.556,,
690,Employee Importance,64.50%,Medium,54.38%,41.40%,-22.15%,2,1.557,,
1784,Check if Binary String Has at Most One Segment of Ones,40.80%,Easy,23.20%,50.80%,56.10%,1,1.561,,
1638,Count Substrings That Differ by One Character,71.80%,Medium,54.20%,41.40%,-21.84%,2,1.563,,
1479,Sales by Day of the Week,82.40%,Hard,64.80%,32.50%,-47.85%,3,1.564,Sql,1
931,Minimum Falling Path Sum,67.80%,Medium,54.15%,41.40%,-21.75%,2,1.565,,
193,Valid Phone Numbers,25.80%,Easy,22.97%,50.80%,56.57%,1,1.566,Shell,
612,Shortest Distance in a Plane,63.10%,Medium,54.12%,41.40%,-21.71%,2,1.566,Sql,1
1850,Minimum Adjacent Swaps to Reach the Kth Smallest Number,71.70%,Medium,54.10%,41.40%,-21.67%,2,1.567,,
1061,Lexicographically Smallest Equivalent String,69.60%,Medium,54.04%,41.40%,-21.57%,2,1.569,,1
1310,XOR Queries of a Subarray,71.60%,Medium,54.00%,41.40%,-21.50%,2,1.570,,
1415,The k-th Lexicographical String of All Happy Strings of Length n,71.60%,Medium,54.00%,41.40%,-21.50%,2,1.570,,
11,Container With Most Water,54.10%,Medium,53.94%,41.40%,-21.40%,2,1.572,,
1677,Product's Worth Over Invoices,40.20%,Easy,22.60%,50.80%,57.32%,1,1.573,Sql,1
2275,Largest Combination With Bitwise AND Greater Than Zero,71.50%,Medium,53.90%,41.40%,-21.33%,2,1.573,,
386,Lexicographical Numbers,59.50%,Medium,53.84%,41.40%,-21.23%,2,1.575,,
510,Inorder Successor in BST II,61.30%,Medium,53.82%,41.40%,-21.19%,2,1.576,,1
1123,Lowest Common Ancestor of Deepest Leaves,70.30%,Medium,53.83%,41.40%,-21.21%,2,1.576,,
946,Validate Stack Sequences,67.60%,Medium,53.73%,41.40%,-21.03%,2,1.579,,
1037,Valid Boomerang,37.50%,Easy,22.29%,50.80%,57.95%,1,1.579,,
245,Shortest Word Distance III,57.30%,Medium,53.71%,41.40%,-21.00%,2,1.580,,1
1222,Queens That Can Attack the King,71.30%,Medium,53.70%,41.40%,-20.99%,2,1.580,,
284,Peeking Iterator,57.80%,Medium,53.63%,41.40%,-20.88%,2,1.582,,
1860,Incremental Memory Leak,71.20%,Medium,53.60%,41.40%,-20.82%,2,1.584,,
2186,Minimum Number of Steps to Make Two Strings Anagram II,71.20%,Medium,53.60%,41.40%,-20.82%,2,1.584,,
2294,Partition Array Such That Maximum Difference Is K,71.20%,Medium,53.60%,41.40%,-20.82%,2,1.584,,
1668,Maximum Repeating Substring,39.60%,Easy,22.00%,50.80%,58.54%,1,1.585,,
382,Linked List Random Node,59.10%,Medium,53.50%,41.40%,-20.64%,2,1.587,,
1806,Minimum Number of Operations to Reinitialize a Permutation,71.10%,Medium,53.50%,41.40%,-20.65%,2,1.587,,
1532,The Most Recent Three Orders,71.00%,Medium,53.40%,41.40%,-20.48%,2,1.590,Sql,1
2196,Create Binary Tree From Descriptions,70.90%,Medium,53.30%,41.40%,-20.31%,2,1.594,,
635,Design Log Storage System,62.50%,Medium,53.19%,41.40%,-20.11%,2,1.598,,1
462,Minimum Moves to Equal Array Elements II,59.90%,Medium,53.12%,41.40%,-20.01%,2,1.600,,
399,Evaluate Division,58.90%,Medium,53.05%,41.40%,-19.88%,2,1.602,,
1110,Delete Nodes And Return Forest,69.30%,Medium,53.02%,41.40%,-19.83%,2,1.603,,
1586,Binary Search Tree Iterator II,70.60%,Medium,53.00%,41.40%,-19.80%,2,1.604,,1
113,Path Sum II,54.60%,Medium,52.94%,41.40%,-19.70%,2,1.606,,
531,Lonely Pixel I,60.70%,Medium,52.91%,41.40%,-19.65%,2,1.607,,1
648,Replace Words,62.40%,Medium,52.90%,41.40%,-19.62%,2,1.608,,
2112,The Airport With the Most Traffic,70.50%,Medium,52.90%,41.40%,-19.62%,2,1.608,Sql,1
222,Count Complete Tree Nodes,56.10%,Medium,52.84%,41.40%,-19.53%,2,1.609,,
951,Flip Equivalent Binary Trees,66.80%,Medium,52.85%,41.40%,-19.54%,2,1.609,,
925,Long Pressed Name,34.30%,Easy,20.73%,50.80%,61.11%,1,1.611,,
856,Score of Parentheses,65.30%,Medium,52.75%,41.40%,-19.36%,2,1.613,,
90,Subsets II,54.00%,Medium,52.68%,41.40%,-19.25%,2,1.615,,
430,Flatten a Multilevel Doubly Linked List,59.00%,Medium,52.69%,41.40%,-19.27%,2,1.615,,
236,Lowest Common Ancestor of a Binary Tree,56.10%,Medium,52.64%,41.40%,-19.18%,2,1.616,,
103,Binary Tree Zigzag Level Order Traversal,54.10%,Medium,52.59%,41.40%,-19.09%,2,1.618,,
1884,Egg Drop With 2 Eggs and N Floors,70.10%,Medium,52.50%,41.40%,-18.94%,2,1.621,,
714,Best Time to Buy and Sell Stock with Transaction Fee,62.90%,Medium,52.43%,41.40%,-18.82%,2,1.624,,
445,Add Two Numbers II,58.90%,Medium,52.37%,41.40%,-18.73%,2,1.625,,
516,Longest Palindromic Subsequence,59.90%,Medium,52.33%,41.40%,-18.66%,2,1.627,,
348,Design Tic-Tac-Toe,57.40%,Medium,52.30%,41.40%,-18.59%,2,1.628,,1
941,Valid Mountain Array,33.70%,Easy,19.90%,50.80%,62.81%,1,1.628,,
